Country,GDP 2023,GDP 2024
St. Kitts and Nevis,1056751852,1066681481
St. Lucia,2430166667,2549062963
St. Vincent and the Grenadines,1072237037,1157207407
Sub-Saharan Africa,1.99164E+12,1.9577E+12
Sub-Saharan Africa (IDA & IBRD countries),1.99164E+12,1.9577E+12
Sub-Saharan Africa (excluding high income),1.82574E+12,1.74553E+12
Sudan,39898289821,49909807030
Suriname,3455146281,4714267822
Sweden,5.8549E+11,6.10118E+11
Switzerland,8.94425E+11,9.36564E+11
Syrian Arab Republic,19993439950,
Tajikistan,12244169293,14204575549
Tanzania,79062403837,78779864877
Thailand,5.15906E+11,5.26411E+11
Timor-Leste,2079916909,1881265333
Togo,9171261838,9925732120
Tonga,508735107,
Trinidad and Tobago,25489373405,26428963758
Tunisia,48196281784,53409988745
Turkiye,1.11825E+12,1.32325E+12
Turkmenistan,60628857143,64239891739
Turks and Caicos Islands,1638653000,1745378000
Tuvalu,62280311.59,
Uganda,48768955859,53651874314
Ukraine,1.81222E+11,1.90741E+11
United Arab Emirates,5.1413E+11,5.37079E+11
United Kingdom,3.36986E+12,3.64383E+12
United States,2.77207E+13,2.91849E+13
Upper middle income,2.98681E+13,3.08918E+13
Uruguay,77991666838,80961511074
Uzbekistan,1.02642E+11,1.14965E+11
Vanuatu,1126313359,1161251868
Viet Nam,4.33858E+11,4.76388E+11
West Bank and Gaza,17847900000,13711100000
World,1.06971E+14,1.11326E+14
Zambia,27577956471,26325775287
Zimbabwe,35231369343,44187704410
