rank,city,country,population_2024,population_2025,avg_life_expectancy_2024,female_life_expectancy_2024,male_life_expectancy_2024,gdp_2023,gdp_2024,population_change,gdp_change,"GDP_per_capita (2024)"
23,"Rio de Janeiro",Brazil,13824300,13923200,76.00,79.20,73.00,2191130000000,2179410000000,0.72,-0.53,157650.66
24,Shenzhen,China,13311900,13545400,78.00,81.00,75.30,18270400000000,18743800000000,1.75,2.59,1408048.44
26,Chennai,India,12053700,12336000,72.20,73.90,70.70,3638490000000,3912690000000,2.34,7.54,324604.89
27,Bogota,Colombia,11658200,11795800,77.90,80.60,75.20,366292000000,418542000000,1.18,14.26,35901.08
28,Jakarta,Indonesia,11436000,11634100,71.30,73.40,69.20,1371170000000,1396300000000,1.73,1.83,122096.89
29,Lima,Peru,11361900,11517300,77.90,80.30,75.60,266959000000,289222000000,1.37,8.34,25455.43
30,Bangkok,Thailand,11233900,11391700,76.60,81.00,72.30,515906000000,526411000000,1.40,2.04,46859.15
31,Paris,France,11276700,11346800,83.50,86.20,80.60,3051830000000,3162080000000,0.62,3.61,280408.28
32,Hyderabad,India,11068900,11337900,72.20,73.90,70.70,3638490000000,3912690000000,2.43,7.54,353484.99
33,Nanjing,China,9947550,10174900,78.00,81.00,75.30,18270400000000,18743800000000,2.29,2.59,1884262.96
34,Luanda,Angola,9651030,10027900,64.80,67.30,62.30,84875162197,80396942242,3.90,-5.28,8330.40
36,Chengdu,China,9828110,9998870,78.00,81.00,75.30,18270400000000,18743800000000,1.74,2.59,1907162.21
37,London,"United Kingdom",9748030,9840740,81.50,83.30,79.50,3369860000000,3643830000000,0.95,8.13,373801.68
40,Nagoya,Japan,9556880,9534790,84.80,87.90,81.80,4213170000000,4026210000000,-0.23,-4.44,421289.17
41,Xi-an,China,9013840,9222080,78.00,81.00,75.30,18270400000000,18743800000000,2.31,2.59,2079446.72
42,Ahmedabad,India,8854440,9061820,72.20,73.90,70.70,3638490000000,3912690000000,2.34,7.54,441890.17
43,"Kuala Lumpur",Malaysia,8815630,9000280,76.80,79.50,74.50,399705000000,421972000000,2.09,5.57,47866.35
44,Wuhan,China,8850850,8986480,78.00,81.00,75.30,18270400000000,18743800000000,1.53,2.59,2117740.10
45,Suzhou,China,8350620,8592820,78.00,81.00,75.30,18270400000000,18743800000000,2.90,2.59,2244599.80
46,Hangzhou,China,8419840,8591040,78.00,81.00,75.30,18270400000000,18743800000000,2.03,2.59,2226146.82
47,Surat,India,8330530,8581730,72.20,73.90,70.70,3638490000000,3912690000000,3.02,7.54,469680.80
48,"Dar es Salaam",Tanzania,8161230,8561520,67.20,70.00,64.40,79062403837,78779864877,4.90,-0.36,9652.94
49,Baghdad,Iraq,7921130,8141120,72.40,74.20,70.50,268881000000,279641000000,2.78,4.00,35303.17
50,Shenyang,China,7830380,7974270,78.00,81.00,75.30,18270400000000,18743800000000,1.84,2.59,2393728.02
51,Riyadh,"Saudi Arabia",7820550,7952860,79.00,81.30,77.30,1218580000000,1237530000000,1.69,1.56,158240.79
52,"New York City","United States",8097282,7936530,79.50,82.00,77.00,27720700000000,29184900000000,-1.99,5.28,3604283.51
53,Foshan,China,7704940,7817160,78.00,81.00,75.30,18270400000000,18743800000000,1.46,2.59,2432699.02
54,Dongguan,China,7675150,7772860,78.00,81.00,75.30,18270400000000,18743800000000,1.27,2.59,2442141.20
56,Pune,India,7345850,7525720,72.20,73.90,70.70,3638490000000,3912690000000,2.45,7.54,532639.52
57,Haerbin,China,6938010,7066860,78.00,81.00,75.30,18270400000000,18743800000000,1.86,2.59,2701610.40
58,Santiago,Chile,6950950,6999460,81.40,83.20,79.50,335518000000,330267000000,0.70,-1.57,47513.94
59,Madrid,Spain,6783240,6810530,83.80,86.40,81.10,1620090000000,1722750000000,0.40,6.34,253971.55
60,Khartoum,Sudan,6542070,6754180,66.50,69.80,63.50,39898289821,49909807030,3.24,25.09,7629.05
61,Toronto,Canada,6431430,6491290,82.70,84.90,80.50,2173340000000,2241250000000,0.93,3.12,348483.93
62,Johannesburg,"South Africa",6324350,6444580,66.30,69.80,62.80,380699000000,400261000000,1.90,5.14,63288.88
63,"Belo Horizonte",Brazil,6300410,6351680,76.00,79.20,73.00,2191130000000,2179410000000,0.81,-0.53,345915.58
64,Dalian,China,6217490,6347380,78.00,81.00,75.30,18270400000000,18743800000000,2.09,2.59,3014689.21
65,Qingdao,China,6104600,6217970,78.00,81.00,75.30,18270400000000,18743800000000,1.86,2.59,3070438.69
66,Singapore,Singapore,6119200,6157270,83.90,86.40,81.40,505440000000,547387000000,0.62,8.30,89454.01
67,Zhengzhou,China,6014890,6156140,78.00,81.00,75.30,18270400000000,18743800000000,2.35,2.59,3116233.21
68,"Ji nan Shandong",China,5940700,6065850,78.00,81.00,75.30,18270400000000,18743800000000,2.11,2.59,3155150.07
71,Yangon,Myanmar,5709680,5813190,67.10,70.40,64.00,66757619000,74079772652,1.81,10.97,12974.42
73,Nairobi,Kenya,5541170,5766990,63.80,66.10,61.60,108039000000,124499000000,4.08,15.24,22468.00
74,Barcelona,Spain,5711920,5733250,83.80,86.40,81.10,1620090000000,1722750000000,0.37,6.34,301606.11
75,Chittagong,Bangladesh,5513610,5653490,74.90,76.70,73.30,437415000000,450119000000,2.54,2.90,81637.80
78,Guadalajara,Mexico,5499680,5578580,75.30,78.00,72.40,1793800000000,1852720000000,1.43,3.28,336877.78
80,Fukuoka,Japan,5478080,5465920,84.80,87.90,81.80,4213170000000,4026210000000,-0.22,-4.44,734967.36
81,Melbourne,Australia,5315600,5391890,84.10,85.50,82.30,1728060000000,1752190000000,1.44,1.40,329631.65
82,Monterrey,Mexico,5195360,5272360,75.30,78.00,72.40,1793800000000,1852720000000,1.48,3.28,356610.51
83,Sydney,Australia,5184900,5248790,84.10,85.50,82.30,1728060000000,1752190000000,1.23,1.40,337940.94
84,Urumqi,China,5005960,5132170,78.00,81.00,75.30,18270400000000,18743800000000,2.52,2.59,3744296.80
85,Changsha,China,5027980,5128270,78.00,81.00,75.30,18270400000000,18743800000000,1.99,2.59,3727898.68
86,"Cape Town","South Africa",4977830,5063580,66.30,69.80,62.80,380699000000,400261000000,1.72,5.14,80408.73
87,Jiddah,"Saudi Arabia",4943210,5021600,79.00,81.30,77.30,1218580000000,1237530000000,1.59,1.56,250349.47
88,Brasilia,Brazil,4935270,4990930,76.00,79.20,73.00,2191130000000,2179410000000,1.13,-0.53,441598.94
89,Kunming,China,4861080,4955680,78.00,81.00,75.30,18270400000000,18743800000000,1.95,2.59,3855892.11
90,Changchun,China,4802450,4891020,78.00,81.00,75.30,18270400000000,18743800000000,1.84,2.59,3902966.19
92,Yaounde,Cameroon,4681770,4854260,64.00,66.20,61.80,49279410983,51326764685,3.68,4.15,10963.11
93,Hefei,China,4727290,4830170,78.00,81.00,75.30,18270400000000,18743800000000,2.18,2.59,3965020.13
94,Ningbo,China,4659830,4770300,78.00,81.00,75.30,18270400000000,18743800000000,2.37,2.59,4022421.42
95,Shantou,China,4656520,4737590,78.00,81.00,75.30,18270400000000,18743800000000,1.74,2.59,4025280.68
96,Kano,Nigeria,4490730,4645320,54.60,54.90,54.30,363846000000,187760000000,3.44,-48.40,41810.57
97,"Tel Aviv",Israel,4495730,4568530,82.70,84.70,80.70,512185000000,540380000000,1.62,5.50,120198.50
99,Shijiazhuang,China,4454130,4534990,78.00,81.00,75.30,18270400000000,18743800000000,1.82,2.59,4208184.31
100,Jaipur,India,4308510,4411110,72.20,73.90,70.70,3638490000000,3912690000000,2.38,7.54,908130.65
101,Kozhikode,India,4243960,4387410,72.20,73.90,70.70,3638490000000,3912690000000,3.38,7.54,921943.19
102,Nanning,China,4291460,4383600,78.00,81.00,75.30,18270400000000,18743800000000,2.15,2.59,4367697.71
103,Montreal,Canada,4341640,4377310,82.70,84.90,80.50,2173340000000,2241250000000,0.82,3.12,516221.98
104,Rome,Italy,4331970,4347100,83.90,85.90,81.80,2304610000000,2372770000000,0.35,2.96,547734.63
105,Douala,Cameroon,4203110,4346420,64.00,66.20,61.80,49279410983,51326764685,3.41,4.15,12211.62
106,Recife,Brazil,4305130,4344050,76.00,79.20,73.00,2191130000000,2179410000000,0.90,-0.53,506235.58
107,Malappuram,India,4184920,4343910,72.20,73.90,70.70,3638490000000,3912690000000,3.80,7.54,934949.77
108,"Taiyuan Shanxi",China,4226780,4305290,78.00,81.00,75.30,18270400000000,18743800000000,1.86,2.59,4434534.09
109,Fortaleza,Brazil,4246400,4284450,76.00,79.20,73.00,2191130000000,2179410000000,0.90,-0.53,513237.09
110,"Porto Alegre",Brazil,4239870,4268960,76.00,79.20,73.00,2191130000000,2179410000000,0.69,-0.53,514027.55
111,Kampala,Uganda,4050830,4265160,68.50,71.40,65.50,48768955859,53651874314,5.29,10.01,13244.66
112,Ekurhuleni,"South Africa",4190830,4262130,66.30,69.80,62.80,380699000000,400261000000,1.70,5.14,95508.77
113,Antananarivo,Madagascar,4048670,4228980,63.80,65.60,62.10,15869945478,17420814801,4.45,9.77,4302.85
114,Abuja,Nigeria,4025740,4209940,54.60,54.90,54.30,363846000000,187760000000,4.58,-48.40,46639.87
115,Changzhou,China,4085500,4180040,78.00,81.00,75.30,18270400000000,18743800000000,2.31,2.59,4587883.98
116,Medellin,Colombia,4137390,4172810,77.90,80.60,75.20,366292000000,418542000000,0.86,14.26,101160.88
117,Ibadan,Nigeria,4004320,4144130,54.60,54.90,54.30,363846000000,187760000000,3.49,-48.40,46889.36
118,Lucknow,India,4038210,4132670,72.20,73.90,70.70,3638490000000,3912690000000,2.34,7.54,968916.92
119,Nanchang,China,4016040,4104120,78.00,81.00,75.30,18270400000000,18743800000000,2.19,2.59,4667234.39
120,Wenzhou,China,4009530,4093180,78.00,81.00,75.30,18270400000000,18743800000000,2.09,2.59,4674812.26
121,Xiamen,China,4007470,4077760,78.00,81.00,75.30,18270400000000,18743800000000,1.75,2.59,4677215.30
122,"Fuzhou Fujian",China,3998750,4072430,78.00,81.00,75.30,18270400000000,18743800000000,1.84,2.59,4687414.82
123,Kumasi,Ghana,3903480,4036230,65.70,68.20,63.30,80547146878,82825288889,3.40,2.83,21218.32
124,Salvador,Brazil,3994980,4029910,76.00,79.20,73.00,2191130000000,2179410000000,0.87,-0.53,545537.15
125,"Tangshan Hebei",China,3925210,4024170,78.00,81.00,75.30,18270400000000,18743800000000,2.52,2.59,4775234.96
126,Casablanca,Morocco,3950410,4012310,75.50,77.80,73.30,144417000000,154431000000,1.57,6.93,39092.40
127,Bekasi,Indonesia,3830680,3926050,71.30,73.40,69.20,1371170000000,1396300000000,2.49,1.83,364504.47
128,Faisalabad,Pakistan,3800190,3892830,67.80,70.30,65.50,337886000000,373072000000,2.44,10.41,98171.93
129,Curitiba,Brazil,3852460,3889140,76.00,79.20,73.00,2191130000000,2179410000000,0.95,-0.53,565719.05
130,"Port Harcourt",Nigeria,3636550,3793780,54.60,54.90,54.30,363846000000,187760000000,4.32,-48.40,51631.35
131,"Los Angeles","United States",3795936,3770958,79.50,82.00,77.00,27720700000000,29184900000000,-0.66,5.28,7688459.45
132,Guiyang,China,3661450,3736730,78.00,81.00,75.30,18270400000000,18743800000000,2.06,2.59,5119228.72
133,Thrissur,India,3605240,3719980,72.20,73.90,70.70,3638490000000,3912690000000,3.18,7.54,1085278.65
134,Dakar,Senegal,3540460,3658640,68.90,71.00,67.00,30696331296,32267254425,3.34,5.12,9113.86
135,"Santo Domingo","Dominican Republic",3587400,3648110,73.90,77.10,70.70,120456000000,124282000000,1.69,3.18,34644.03
136,Asuncion,Paraguay,3568830,3627220,74.00,77.10,71.00,43118053175,44458118400,1.64,3.11,12457.34
137,Kochi,India,3507050,3604550,72.20,73.90,70.70,3638490000000,3912690000000,2.78,7.54,1115664.16
138,Berlin,Germany,3576870,3580190,81.50,83.90,79.20,4525700000000,4659930000000,0.09,2.97,1302795.46
139,Wuxi,China,3498740,3559030,78.00,81.00,75.30,18270400000000,18743800000000,1.72,2.59,5357300.06
141,Ouagadougou,"Burkina Faso",3358930,3520820,61.30,63.40,59.10,20324617845,23250214910,4.82,14.39,6921.91
142,Campinas,Brazil,3458440,3491580,76.00,79.20,73.00,2191130000000,2179410000000,0.96,-0.53,630171.41
144,Indore,India,3393380,3482830,72.20,73.90,70.70,3638490000000,3912690000000,2.64,7.54,1153036.21
145,Lusaka,Zambia,3324220,3470870,66.50,68.90,64.10,27577956471,26325775287,4.41,-4.54,7919.38
147,Puebla,Mexico,3394340,3443290,75.30,78.00,72.40,1793800000000,1852720000000,1.44,3.28,545826.29
148,Lanzhou,China,3365910,3430880,78.00,81.00,75.30,18270400000000,18743800000000,1.93,2.59,5568716.93
149,"Kuwait City",Kuwait,3353600,3405000,80.60,82.00,79.50,165384000000,160227000000,1.53,-3.12,47777.61
150,Kanpur,India,3286140,3345370,72.20,73.90,70.70,3638490000000,3912690000000,1.80,7.54,1190664.43
151,Durban,"South Africa",3262130,3301090,66.30,69.80,62.80,380699000000,400261000000,1.19,5.14,122699.28
152,Guayaquil,Ecuador,3193270,3244750,77.60,80.30,74.90,121147000000,124676000000,1.61,2.91,39043.36
153,"Guatemala City",Guatemala,3159630,3229740,72.80,75.00,70.40,104368000000,113200000000,2.22,8.46,35826.98
154,Depok,Indonesia,3133300,3218290,71.30,73.40,69.20,1371170000000,1396300000000,2.71,1.83,445632.40
156,Bamako,Mali,3050570,3180340,60.70,62.10,59.30,24621545565,26588067731,4.25,7.99,8715.77
157,Nagpur,India,3106340,3170180,72.20,73.90,70.70,3638490000000,3912690000000,2.06,7.54,1259582.02
158,Milan,Italy,3160630,3167450,83.90,85.90,81.80,2304610000000,2372770000000,0.22,2.96,750726.91
159,Handan,China,3086000,3159030,78.00,81.00,75.30,18270400000000,18743800000000,2.37,2.59,6073817.24
160,Coimbatore,India,3083720,3158720,72.20,73.90,70.70,3638490000000,3912690000000,2.43,7.54,1268821.42
162,Athens,Greece,3154590,3155320,82.00,84.50,79.50,243498000000,257145000000,0.02,5.60,81514.55
164,Huaian,China,3071050,3152050,78.00,81.00,75.30,18270400000000,18743800000000,2.64,2.59,6103384.84
165,Surabaya,Indonesia,3088750,3137620,71.30,73.40,69.20,1371170000000,1396300000000,1.58,1.83,452059.89
166,Port-au-Prince,Haiti,3060170,3133080,65.10,68.50,61.90,19850585722,25224154991,2.38,27.07,8242.73
167,Dubai,"United Arab Emirates",3051020,3094640,83.10,84.30,82.20,514130000000,537079000000,1.43,4.46,176032.61
168,Zhongshan,China,3051060,3093870,78.00,81.00,75.30,18270400000000,18743800000000,1.40,2.59,6143373.12
169,Thiruvananthapuram,India,2984150,3072530,72.20,73.90,70.70,3638490000000,3912690000000,2.96,7.54,1311157.28
170,Weifang,China,2994540,3064290,78.00,81.00,75.30,18270400000000,18743800000000,2.33,2.59,6259325.31
172,Lisbon,Portugal,3014610,3028270,82.50,85.30,79.70,289697000000,308683000000,0.45,6.55,102395.67
173,Kiev,Ukraine,3020230,3018160,74.70,79.40,69.80,181222000000,190741000000,-0.07,5.25,63154.46
175,Algiers,Algeria,2952120,3004130,76.50,77.90,75.10,247626000000,263620000000,1.76,6.46,89298.54
176,Pretoria,"South Africa",2889900,2955410,66.30,69.80,62.80,380699000000,400261000000,2.27,5.14,138503.41
177,Shaoxing,China,2882170,2951330,78.00,81.00,75.30,18270400000000,18743800000000,2.40,2.59,6503363.78
178,Shizuoka,Japan,2935530,2930170,84.80,87.90,81.80,4213170000000,4026210000000,-0.18,-4.44,1371544.49
179,Goiania,Brazil,2890420,2927080,76.00,79.20,73.00,2191130000000,2179410000000,1.27,-0.53,754011.53
180,Cali,Colombia,2890430,2916790,77.90,80.60,75.20,366292000000,418542000000,0.91,14.26,144802.68
181,Yantai,China,2834510,2898490,78.00,81.00,75.30,18270400000000,18743800000000,2.26,2.59,6612712.60
182,Huizhou,China,2827610,2890880,78.00,81.00,75.30,18270400000000,18743800000000,2.24,2.59,6628849.10
183,Zibo,China,2828440,2876180,78.00,81.00,75.30,18270400000000,18743800000000,1.69,2.59,6626903.88
185,Mogadishu,Somalia,2726820,2846420,59.00,61.50,56.50,10968517090,12108515110,4.39,10.39,4440.53
186,Manchester,"United Kingdom",2811760,2832580,81.50,83.30,79.50,3369860000000,3643830000000,0.74,8.13,1295924.97
189,Accra,Ghana,2721160,2788380,65.70,68.20,63.30,80547146878,82825288889,2.47,2.83,30437.49
191,Bandung,Indonesia,2714220,2758100,71.30,73.40,69.20,1371170000000,1396300000000,1.62,1.83,514438.77
192,Luoyang,China,2666740,2725560,78.00,81.00,75.30,18270400000000,18743800000000,2.21,2.59,7028731.71
193,"Toluca de Lerdo",Mexico,2674340,2719520,75.30,78.00,72.40,1793800000000,1852720000000,1.69,3.28,692776.54
194,Vancouver,Canada,2682510,2707920,82.70,84.90,80.50,2173340000000,2241250000000,0.95,3.12,835504.81
195,Birmingham,"United Kingdom",2684810,2704620,81.50,83.30,79.50,3369860000000,3643830000000,0.74,8.13,1357202.19
196,Patna,India,2633240,2689540,72.20,73.90,70.70,3638490000000,3912690000000,2.14,7.54,1485884.31
197,Bhopal,India,2624860,2686290,72.20,73.90,70.70,3638490000000,3912690000000,2.34,7.54,1490628.07
198,Tashkent,Uzbekistan,2633660,2665080,72.50,75.50,69.60,102642000000,114965000000,1.19,12.01,43652.18
199,Sapporo,Japan,2660950,2653580,84.80,87.90,81.80,4213170000000,4026210000000,-0.28,-4.44,1513072.40
200,Tangerang,Indonesia,2570980,2626610,71.30,73.40,69.20,1371170000000,1396300000000,2.16,1.83,543100.30
